catalog,detaillink,location,name,number,time
产品/项目类,position_detail.php?id=27732&keywords=&tid=0&lid=0,深圳,23296-互娱市场与用户研究经理(深圳),4,2017-06-16
产品/项目类,position_detail.php?id=26672&keywords=&tid=0&lid=0,深圳,21228-QQ炫舞活动策划和市场接口,1,2017-06-17
产品/项目类,position_detail.php?id=26237&keywords=&tid=0&lid=0,深圳,WXG03--微信小程序前端开发工程师（广州）,1,2017-06-15
产品/项目类,position_detail.php?id=30534&keywords=&tid=0&lid=0,深圳,18403-本地化&运营活动策划,2,2017-06-17
产品/项目类,position_detail.php?id=30882&keywords=&tid=0&lid=0,深圳,MIG06-高级算法工程师（深圳）,1,2017-06-15
技术类,position_detail.php?id=29322&keywords=&tid=0&lid=0,深圳,HY1-游戏测试经理（成都）,1,2017-06-16
产品/项目类,position_detail.php?id=30856&keywords=&tid=0&lid=0,成都,15575-《王者荣耀》版本及用户运营（成都）,1,2017-06-15
技术类,position_detail.php?id=21154&keywords=&tid=0&lid=0,深圳,TEG05-高级数据分析工程师（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=30872&keywords=&tid=0&lid=0,成都,SNG11-腾讯云前端开发工程师（深圳）,1,2017-06-15
产品/项目类,position_detail.php?id=30399&keywords=&tid=0&lid=0,深圳,18403-流程管理经理（深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=30900&keywords=&tid=0&lid=0,深圳,CB-高级福利经理(深圳),1,2017-06-16
产品/项目类,position_detail.php?id=30667&keywords=&tid=0&lid=0,上海,OMG236-腾讯视频平台高级产品经理（深圳）,1,2017-06-16
设计类,position_detail.php?id=30903&keywords=&tid=0&lid=0,深圳,15575-《王者荣耀》IP编导制作（成都）,1,2017-06-16
技术类,position_detail.php?id=28118&keywords=&tid=0&lid=0,上海,RL4-HRBP（北京）,1,2017-06-17
产品/项目类,position_detail.php?id=29325&keywords=&tid=0&lid=0,北京,MIG01-组织氛围与文化经理-创意活动方向（深圳）,2,2017-06-17
产品/项目类,position_detail.php?id=28328&keywords=&tid=0&lid=0,深圳,18403-移动游戏高级市场策划（深圳）,1,2017-06-17
市场类,position_detail.php?id=30787&keywords=&tid=0&lid=0,北京,22989-游戏云Web前端开发（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=28624&keywords=&tid=0&lid=0,深圳,15614-slg手游场景原画（上海）,1,2017-06-17
产品/项目类,position_detail.php?id=29848&keywords=&tid=0&lid=0,深圳,18404-移动游戏数据分析,2,2017-06-17
产品/项目类,position_detail.php?id=30920&keywords=&tid=0&lid=0,深圳,22989-大数据和人工智能（高级）架构师（售前）（深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=29652&keywords=&tid=0&lid=0,深圳,18402-移动游戏评估分析师,2,2017-06-17
职能类,position_detail.php?id=30136&keywords=&tid=0&lid=0,深圳,CG-综合类采购商务主管,1,2017-06-15
内容编辑类,position_detail.php?id=28587&keywords=&tid=0&lid=0,北京,20718-web前端开发工程师,2,2017-06-16
产品/项目类,position_detail.php?id=30840&keywords=&tid=0&lid=0,深圳,18427-理财通产品策划经理,1,2017-06-15
市场类,position_detail.php?id=28535&keywords=&tid=0&lid=0,北京,HY1-3D特效设计师（深圳）,1,2017-06-16
内容编辑类,position_detail.php?id=29293&keywords=&tid=0&lid=0,北京,16810-腾讯动漫内容运营,2,2017-06-15
产品/项目类,position_detail.php?id=28423&keywords=&tid=0&lid=0,深圳,SNG06-企鹅电竞高级直播运营经理（深圳）,1,2017-06-15
技术类,position_detail.php?id=27740&keywords=&tid=0&lid=0,深圳,15665-IP文学策划（深圳）,2,2017-06-16
产品/项目类,position_detail.php?id=26986&keywords=&tid=0&lid=0,上海,18402-移动游戏商业化策划（深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=30891&keywords=&tid=0&lid=0,深圳,MIG06-应用宝产品策划经理（深圳）,1,2017-06-15
职能类,position_detail.php?id=30883&keywords=&tid=0&lid=0,深圳,MIG06-高级产品策划经理（深圳）,1,2017-06-15
设计类,position_detail.php?id=29277&keywords=&tid=0&lid=0,上海,MIG12-大数据平台高级架构师（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=30857&keywords=&tid=0&lid=0,成都,15575-《王者荣耀》内外部渠道运营（成都）,1,2017-06-15
技术类,position_detail.php?id=30915&keywords=&tid=0&lid=0,深圳,19116-合作伙伴解决方案经理（北京）,2,2017-06-17
技术类,position_detail.php?id=30860&keywords=&tid=0&lid=0,深圳,15575-《王者荣耀》赛事运营（成都）,1,2017-06-15
产品/项目类,position_detail.php?id=30400&keywords=&tid=0&lid=0,深圳,18403-商业分析经理,1,2017-06-17
技术类,position_detail.php?id=30901&keywords=&tid=0&lid=0,深圳,15575-《王者荣耀》文学策划（成都）,1,2017-06-16
设计类,position_detail.php?id=29767&keywords=&tid=0&lid=0,上海,21528-腾讯音乐版权商务拓展（北京）,1,2017-06-16
产品/项目类,position_detail.php?id=30904&keywords=&tid=0&lid=0,深圳,15575-《王者荣耀》IP周边与版权运营（成都）,1,2017-06-16
产品/项目类,position_detail.php?id=27693&keywords=&tid=0&lid=0,深圳,18403-移动游戏渠道运营策划（精品游戏）,1,2017-06-17
产品/项目类,position_detail.php?id=29328&keywords=&tid=0&lid=0,深圳,18403-移动游戏渠道商务经理（厂商渠道）,3,2017-06-17
内容编辑类,position_detail.php?id=28591&keywords=&tid=0&lid=0,北京,SNG03-互动视频合作运营经理（深圳）,2,2017-06-17
产品/项目类,position_detail.php?id=30542&keywords=&tid=0&lid=0,深圳,15569-QQ飞车手游高级客户端开发（深圳）,1,2017-06-16
技术类,position_detail.php?id=28625&keywords=&tid=0&lid=0,深圳,15614-slg手游3d场景美术（上海）,1,2017-06-17
产品/项目类,position_detail.php?id=29903&keywords=&tid=0&lid=0,深圳,18403-移动游戏渠道数据分析经理（精品游戏）,1,2017-06-17
产品/项目类,position_detail.php?id=30921&keywords=&tid=0&lid=0,深圳,22989-大数据和人工智能高级产品经理（深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=29451&keywords=&tid=0&lid=0,深圳,18402-移动游戏渠道运营经理（手Q）（深圳）,2,2017-06-17
市场类,position_detail.php?id=30153&keywords=&tid=0&lid=0,深圳,15612-手游后台开发工程师（北京）,3,2017-06-15
产品/项目类,position_detail.php?id=28922&keywords=&tid=0&lid=0,上海,WXG05-前端开发工程师(广州),1,2017-06-16
技术类,position_detail.php?id=30841&keywords=&tid=0&lid=0,深圳,14914-品牌营销经理（深圳）,1,2017-06-15
技术类,position_detail.php?id=28548&keywords=&tid=0&lid=0,深圳,HY1-玩家众测项目运营经理（上海）,1,2017-06-16
产品/项目类,position_detail.php?id=29295&keywords=&tid=0&lid=0,深圳,MIG03-电脑管家系统测试工程师（深圳）,1,2017-06-15
市场类,position_detail.php?id=28440&keywords=&tid=0&lid=0,深圳,SNG06-企鹅电竞后台开发工程师（深圳）,1,2017-06-15
市场类,position_detail.php?id=27703&keywords=&tid=0&lid=0,深圳,15665-漫画美术指导,2,2017-06-16
产品/项目类,position_detail.php?id=28061&keywords=&tid=0&lid=0,深圳,21090-射击类游戏市场推广（深圳）,2,2017-06-15
设计类,position_detail.php?id=25349&keywords=&tid=0&lid=0,深圳,MIG18-移动游戏分发产品策划经理（深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=30884&keywords=&tid=0&lid=0,深圳,MIG06-品牌经理（深圳）,1,2017-06-15
技术类,position_detail.php?id=30871&keywords=&tid=0&lid=0,深圳,SNG11-腾讯云安全后台开发工程师（深圳）,2,2017-06-15
技术类,position_detail.php?id=29306&keywords=&tid=0&lid=0,深圳,MIG12-数据平台架构师（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=30858&keywords=&tid=0&lid=0,深圳,15575-《王者荣耀》社区运营（成都）,1,2017-06-15
职能类,position_detail.php?id=30917&keywords=&tid=0&lid=0,深圳,SNG17-QQ支付资源合作产品经理（深圳）,1,2017-06-17
技术类,position_detail.php?id=30861&keywords=&tid=0&lid=0,深圳,15575-《王者荣耀》世界观策划（成都）,1,2017-06-15
技术类,position_detail.php?id=30902&keywords=&tid=0&lid=0,美国,15575-《王者荣耀》文学编剧（成都）,1,2017-06-16
设计类,position_detail.php?id=29331&keywords=&tid=0&lid=0,深圳,21557-音视频高级应用研发工程师（深圳）,1,2017-06-16
技术类,position_detail.php?id=30905&keywords=&tid=0&lid=0,深圳,15575-《王者荣耀》IP生态拓展运营（成都）,1,2017-06-16
产品/项目类,position_detail.php?id=27219&keywords=&tid=0&lid=0,深圳,18428-金融应用高级运维工程师（深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=28117&keywords=&tid=0&lid=0,深圳,SHL-秘书（深圳）,1,2017-06-17
技术类,position_detail.php?id=30674&keywords=&tid=0&lid=0,北京,15569-QQ飞车手游客户端开发（深圳）,1,2017-06-16
设计类,position_detail.php?id=28895&keywords=&tid=0&lid=0,上海,18402-移动游戏渠道运营经理（二级渠道）,2,2017-06-17
技术类,position_detail.php?id=29997&keywords=&tid=0&lid=0,深圳,22990-行业大客户销售经理（上海）,1,2017-06-15
职能类,position_detail.php?id=28542&keywords=&tid=0&lid=0,北京,OMG231-新闻视频运营（北京）,1,2017-06-16
产品/项目类,position_detail.php?id=25774&keywords=&tid=0&lid=0,深圳,MIG09-浏览器社区内容运营经理,2,2017-06-15
职能类,position_detail.php?id=30842&keywords=&tid=0&lid=0,深圳,22989-资深虚拟网络专家(深圳),1,2017-06-15
技术类,position_detail.php?id=27737&keywords=&tid=0&lid=0,深圳,OMG08-广告产品市场经理（北京）,1,2017-06-16
技术类,position_detail.php?id=29303&keywords=&tid=0&lid=0,深圳,SNG06-QQ会员商城供应链运营经理（深圳）,1,2017-06-15
技术类,position_detail.php?id=28471&keywords=&tid=0&lid=0,深圳,18797-Senior Strategy/Market Analysis Manager(shenzhen),4,2017-06-15
设计类,position_detail.php?id=27711&keywords=&tid=0&lid=0,深圳,SNG02-QQ多媒体通信后台高级工程师（深圳）,2,2017-06-16
技术类,position_detail.php?id=28081&keywords=&tid=0&lid=0,深圳,21087-高级商业投资分析经理（深圳）,1,2017-06-15
产品/项目类,position_detail.php?id=25352&keywords=&tid=0&lid=0,深圳,MIG18-后台开发工程师（深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=30885&keywords=&tid=0&lid=0,深圳,MIG06-商业合作经理（深圳）,2,2017-06-15
技术类,position_detail.php?id=30873&keywords=&tid=0&lid=0,深圳,TEG16-组织建设总监（深圳）,1,2017-06-15
产品/项目类,position_detail.php?id=29307&keywords=&tid=0&lid=0,深圳,MIG12-网络协议优化专家（深圳）,3,2017-06-16
设计类,position_detail.php?id=30859&keywords=&tid=0&lid=0,深圳,15575-《王者荣耀》赛事内容运营（成都）,1,2017-06-15
技术类,position_detail.php?id=30918&keywords=&tid=0&lid=0,北京,22990-行业大客户销售经理（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=30862&keywords=&tid=0&lid=0,成都,15851-游戏后台开发工程师（深圳）,2,2017-06-15
产品/项目类,position_detail.php?id=30822&keywords=&tid=0&lid=0,成都,MIG03-腾讯众包产品运营（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=29846&keywords=&tid=0&lid=0,深圳,15614-资深SLG系统策划（上海）,1,2017-06-16
产品/项目类,position_detail.php?id=30906&keywords=&tid=0&lid=0,成都,15583-棋牌游戏运营（深圳）,1,2017-06-16
